Class,Response,Opinion,Order,,,,,
Rich,15,presence of initial capital,1,,,,,
Middle ,23,presence of initial capital,2,,,,,
Poor,27,presence of initial capital,3,,,,,
Rich,28,"education, high qualification",4,,,,,
Middle ,33,"education, high qualification",5,,,,,
Poor,18,"education, high qualification",6,,,,,
Rich,11,"cunning, cheating",7,,,,,
Middle ,21,"cunning, cheating",8,,,,,
Poor,32,"cunning, cheating",9,,,,,
Rich,13,"abilities, talents",10,,,,,
Middle ,8,"abilities, talents",11,,,,,
Poor,7,"abilities, talents",12,,,,,
Rich,9,connections to the right people,13,,,,,
Middle ,32,connections to the right people,14,,,,,
Poor,33,connections to the right people,15,,,,,
Rich,13,"fortune, good luck",16,,,,,
Middle ,15,"fortune, good luck",17,,,,,
Poor,12,"fortune, good luck",18,,,,,
Rich,38,hard work,19,,,,,
Middle ,27,hard work,20,,,,,
Poor,16,hard work,21,,,,,
Rich,27,"entreprenuerial spirit, courage",22,,,,,
Middle ,17,"entreprenuerial spirit, courage",23,,,,,
Poor,16,"entreprenuerial spirit, courage",24,,,,,
